iter	Passed	Remaining
404	5005	7354
405	5014	7336
406	5023	7319
407	5031	7301
408	5041	7284
409	5049	7266
410	5058	7249
411	5067	7232
412	5076	7214
413	5085	7198
414	5093	7180
415	5103	7163
416	5111	7146
417	5121	7130
418	5129	7112
419	5138	7096
420	5146	7078
421	5156	7062
422	5164	7044
423	5172	7027
424	5181	7010
425	5190	6993
426	5200	6978
427	5211	6964
428	5222	6951
429	5239	6945
430	5251	6933
431	5268	6926
432	5282	6917
433	5298	6910
434	5314	6902
435	5328	6892
436	5347	6889
437	5364	6883
438	5380	6875
439	5397	6869
440	5414	6863
441	5430	6856
442	5445	6846
443	5459	6836
444	5472	6825
445	5481	6809
446	5493	6796
447	5506	6784
448	5517	6770
449	5528	6756
450	5561	6770
451	5596	6785
452	5629	6798
453	5643	6786
454	5658	6778
455	5678	6774
456	5690	6761
457	5700	6745
458	5711	6731
459	5724	6719
460	5738	6709
461	5755	6702
462	5770	6692
463	5783	6680
464	5794	6666
465	5809	6656
466	5822	6645
467	5836	6635
468	5851	6625
469	5868	6617
470	5883	6607
471	5898	6598
472	5916	6591
473	5930	6580
474	5943	6568
475	5959	6560
476	5974	6550
477	5991	6542
478	6007	6534
479	6023	6525
480	6040	6517
481	6054	6506
482	6069	6496
483	6083	6486
484	6098	6475
485	6112	6464
486	6126	6453
487	6138	6440
488	6154	6431
489	6168	6420
490	6183	6410
491	6198	6399
492	6212	6389
493	6227	6378
494	6240	6366
495	6252	6353
496	6273	6348
497	6288	6339
498	6302	6327
499	6319	6319
500	6338	6313
501	6355	6304
502	6367	6291
503	6379	6277
504	6397	6271
505	6412	6260
506	6430	6252
507	6446	6243
508	6462	6234
509	6479	6224
510	6494	6214
511	6508	6203
512	6521	6191
513	6531	6175
514	6542	6161
515	6553	6146
516	6561	6129
517	6571	6115
518	6580	6099
519	6589	6082
520	6599	6067
521	6607	6050
522	6617	6035
523	6625	6018
524	6635	6003
525	6644	5987
526	6653	5971
527	6662	5955
528	6671	5940
529	6680	5924
530	6689	5908
531	6698	5892
532	6706	5875
533	6715	5860
534	6724	5844
535	6733	5829
536	6741	5812
537	6752	5798
538	6763	5784
539	6772	5769
540	6786	5757
541	6801	5747
542	6821	5741
543	6846	5738
544	6870	5736
545	6894	5732
546	6913	5725
547	6928	5714
548	6942	5703
549	6954	5690
550	6969	5679
551	6982	5666
552	6995	5654
553	7008	5642
554	7020	5629
555	7035	5618
556	7052	5608
557	7070	5600
558	7090	5593
559	7102	5580
560	7116	5569
561	7130	5557
562	7142	5543
563	7153	5530
564	7166	5517
565	7180	5505
566	7194	5494
567	7209	5483
568	7223	5471
569	7235	5458
570	7249	5446
571	7265	5436
572	7283	5427
573	7298	5416
574	7314	5406
575	7329	5395
576	7345	5385
577	7362	5375
578	7377	5364
579	7395	5355
580	7412	5345
581	7428	5335
582	7445	5325
583	7460	5314
584	7476	5303
585	7493	5293
586	7509	5283
587	7525	5272
588	7541	5262
589	7558	5252
590	7575	5242
591	7590	5231
592	7604	5219
593	7618	5207
594	7631	5194
595	7642	5180
596	7657	5169
597	7673	5158
598	7689	5147
599	7702	5135
600	7715	5122
601	7725	5107
602	7736	5093
603	7748	5079
604	7756	5064
605	7770	5051
606	7784	5039
607	7800	5029
608	7817	5019
609	7834	5008
610	7850	4998
611	7867	4987
612	7886	4978
613	7902	4968
614	7919	4957
615	7937	4948
616	7955	4938
617	7974	4928
618	7994	4920
619	8015	4912
620	8033	4902
621	8048	4891
622	8063	4879
623	8080	4868
624	8097	4858
625	8114	4847
626	8130	4836
627	8145	4824
628	8160	4813
629	8177	4802
630	8194	4791
631	8214	4782
632	8230	4771
633	8248	4761
634	8264	4750
635	8282	4740
636	8298	4728
637	8312	4716
638	8327	4704
639	8344	4693
640	8358	4681
641	8372	4668
642	8382	4654
643	8395	4640
644	8409	4628
645	8422	4615
646	8435	4602
647	8448	4589
648	8461	4576
649	8477	4564
650	8490	4551
651	8501	4537
652	8511	4523
653	8523	4509
654	8536	4496
655	8551	4484
656	8566	4472
657	8577	4458
658	8588	4444
659	8598	4429
660	8607	4414
661	8617	4399
662	8629	4386
663	8639	4371
664	8650	4357
665	8658	4342
666	8669	4328
667	8680	4314
668	8688	4298
669	8698	4284
670	8707	4269
671	8715	4254
672	8724	4238
673	8733	4224
674	8741	4208
675	8750	4193
676	8759	4179
677	8769	4164
678	8778	4150
679	8788	4135
680	8799	4122
681	8810	4108
682	8819	4093
683	8828	4078
684	8839	4064
685	8849	4050
686	8859	4036
687	8867	4021
688	8878	4007
689	8886	3992
690	8896	3978
691	8905	3963
692	8914	3949
693	8923	3934
694	8933	3920
695	8944	3906
696	8952	3891
697	8962	3877
698	8971	3863
699	8980	3848
700	8990	3834
701	9000	3820
702	9012	3807
703	9025	3794
704	9041	3783
705	9062	3774
706	9081	3763
707	9098	3752
708	9114	3740
709	9129	3729
710	9142	3715
711	9155	3703
712	9166	3689
713	9177	3675
714	9187	3662
715	9199	3648
716	9210	3635
717	9223	3622
718	9234	3608
719	9242	3594
720	9252	3580
721	9261	3565
722	9271	3551
723	9279	3537
724	9288	3523
725	9297	3508
726	9306	3494
727	9316	3480
728	9324	3466
729	9335	3452
730	9347	3439
731	9357	3425
732	9370	3413
733	9383	3400
734	9392	3386
735	9403	3372
736	9416	3360
737	9428	3347
738	9441	3334
739	9455	3322
740	9471	3310
741	9485	3298
742	9499	3285
743	9512	3273
744	9529	3261
745	9540	3248
746	9553	3235
747	9568	3223
748	9582	3211
749	9596	3198
750	9606	3185
751	9618	3172
752	9631	3159
753	9645	3146
754	9655	3133
755	9666	3119
756	9678	3106
757	9687	3092
758	9697	3079
759	9707	3065
760	9715	3051
761	9724	3037
762	9733	3023
763	9743	3009
764	9751	2995
765	9760	2981
766	9768	2967
767	9777	2953
768	9785	2939
769	9795	2925
770	9804	2912
771	9813	2898
772	9822	2884
773	9831	2870
774	9840	2856
775	9850	2843
776	9861	2830
777	9872	2817
778	9881	2803
779	9890	2789
780	9898	2775
781	9908	2762
782	9917	2748
783	9926	2734
784	9935	2721
785	9943	2707
786	9952	2693
787	9961	2679
788	9970	2666
789	9981	2653
790	9990	2639
791	9999	2626
792	10008	2612
793	10017	2599
794	10025	2585
795	10034	2571
796	10043	2558
797	10052	2544
798	10060	2530
799	10069	2517
800	10078	2503
801	10087	2490
802	10096	2476
803	10104	2463
804	10116	2450
805	10127	2437
806	10139	2424
807	10151	2412
808	10163	2399
809	10173	2386
810	10187	2374
811	10196	2360
812	10204	2347
813	10214	2334
814	10223	2320
815	10232	2307
816	10241	2293
817	10250	2280
818	10259	2267
819	10268	2254
820	10277	2240
821	10285	2227
822	10294	2213
823	10302	2200
824	10311	2187
825	10320	2174
826	10330	2160
827	10338	2147
828	10347	2134
829	10355	2121
830	10364	2107
831	10372	2094
832	10381	2081
833	10390	2068
834	10398	2054
835	10407	2041
836	10415	2028
837	10424	2015
838	10435	2002
839	10447	1989
840	10457	1977
841	10466	1963
842	10478	1951
843	10489	1938
844	10501	1926
845	10513	1913
846	10525	1901
847	10534	1888
848	10546	1875
849	10559	1863
850	10572	1851
851	10588	1839
852	10600	1826
853	10615	1814
854	10631	1802
855	10647	1791
856	10660	1778
857	10678	1767
858	10694	1755
859	10709	1743
860	10724	1731
861	10738	1719
862	10748	1706
863	10759	1693
864	10772	1681
865	10784	1668
866	10795	1656
867	10808	1643
868	10820	1631
869	10830	1618
870	10839	1605
871	10849	1592
872	10857	1579
873	10867	1566
874	10875	1553
875	10884	1540
876	10893	1527
877	10903	1515
878	10912	1502
879	10920	1489
880	10930	1476
881	10938	1463
882	10947	1450
883	10955	1437
884	10965	1424
885	10975	1412
886	10984	1399
887	10992	1386
888	11002	1373
889	11011	1360
890	11019	1348
891	11028	1335
892	11036	1322
893	11045	1309
894	11054	1296
895	11063	1284
896	11071	1271
897	11081	1258
898	11089	1245
899	11099	1233
900	11107	1220
901	11117	1207
902	11126	1195
903	11134	1182
904	11145	1170
905	11153	1157
906	11164	1144
907	11172	1132
908	11184	1119
909	11195	1107
910	11206	1094
911	11218	1082
912	11230	1070
913	11242	1057
914	11253	1045
915	11262	1032
916	11271	1020
917	11280	1007
918	11289	995
919	11297	982
920	11306	969
921	11315	957
922	11324	944
923	11333	932
924	11342	919
925	11350	907
926	11359	894
927	11368	882
928	11376	869
929	11387	857
930	11395	844
931	11404	832
932	11413	819
933	11421	807
934	11429	794
935	11438	782
936	11447	769
937	11456	757
938	11464	744
939	11473	732
940	11483	719
941	11491	707
942	11500	695
943	11509	682
944	11518	670
945	11528	658
946	11537	645
947	11545	633
948	11554	620
949	11562	608
950	11571	596
951	11581	583
952	11589	571
953	11599	559
954	11607	546
955	11617	534
956	11626	522
957	11635	510
958	11644	497
959	11653	485
960	11661	473
961	11670	460
962	11679	448
963	11687	436
964	11697	424
965	11705	411
966	11715	399
967	11724	387
968	11733	375
969	11742	363
970	11750	350
971	11760	338
972	11768	326
973	11779	314
974	11787	302
975	11796	290
976	11805	277
977	11815	265
978	11823	253
979	11832	241
980	11842	229
981	11850	217
982	11860	205
983	11868	192
984	11878	180
985	11887	168
986	11896	156
987	11904	144
988	11914	132
989	11923	120
990	11932	108
991	11942	96
992	11950	84
993	11960	72
994	11968	60
995	11977	48
996	11986	36
997	11994	24
998	12004	12
999	12012	0
